inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
Ammonium Persulfate,skin brightening,-1.00,,,
Cholecalciferol PEG-12 Ether,skin conditioning,-1.00,,,
Acetyl Carnosine,,,,0.000,
Guanethidine Monosulfate,,-1.00,,,
Dipentaerythrityl Tetraisostearate,,,,0.000,
Aluminum Phenolsulfonate,,-1.00,,,
Guanethidine Sulfate,,-1.00,,,
Hydrazine bis(3-carboxy-4-hydroxybenzensulfonate),,-1.00,,,
"Hydrazine, Sulfate",,-1.00,,,
Gold Aspartate/Glutamate,,-1.00,,,
Metaproterenol Sulfate,,-1.00,,,
Methoxy PEG-12 Retinamide,,-1.00,,,
Morphine Sulfate; Morphine Sulfate Pentahydrate,,-1.00,,,
Poldine Metilsulfate,,-1.00,,,
Polydatin Glucoside,,-1.00,,,
Raspberryketone Glucoside,,-1.00,,,
Sodium/Aluminum/Iron Hydroxide/Oxalate/Sulfate,,-1.00,,,
Terbutaline Sulfate,,-1.00,,,
Zinc p-phenolsulfonate,,-1.00,,,
"[1,1'-biphenyl-4,4'-diyl]diammonium sulfate",,-1.00,,,
Diethylene Glycol/Propylene Glycol/Dipropylene Glycol Dibenzoate,,,,1.000,10.000
"Tetrasodium 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonate (Food Black 2; CI 27755) when used as a substance in hair dye products",Colorant,,,,
"6-Methoxy-N2-Methyl-2,3-Pyridinediamine Hydrochloride and Dihydrochloride salt",Colorant,,,,
Dihydrocholesteryl Macadamiate,Skin Conditioning Agent - Emollient,,,0.000,
Cyclohexane,solvent,,,,
Sorbitan Oleate,Emulsifying Agent,-1.00,,1.000,10.000
Stearic Acid,"Emulsifying Agent, Emulsion Stabilizer, Viscosity Increasing Agent - Nonaqueous",,,1.000,25.000
Dihydrogenated Palmoyl Hydroxyethylmonium Methosulfate,,,,0.000,
"Tetrasodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate] (Direct blue 6)",Colorant,,,,
Cetearyl Alcohol,Emollient,-1.00,,0.500,20.000
Polysorbate 20,Surfactant - Solubilizing Agent,3.00,9.00,1.000,10.000
Ceteareth-20,Emulsifying Agent,5.00,7.00,0.500,5.000
PEG-100 Stearate,Surfactant - Emulsifying Agent,5.50,7.50,0.500,10.000
Titanium Hydroxide,Colorant,,,,
Isopelletierine; 1-(2-Piperidinyl)-2-propanone,,-1.00,,,
"Toluene-2,5-diamine hydrochloride",Colorant,,,,
Stearyl Alcohol,Emollient,,,0.500,10.000
PEG-7 Glyceryl Cocoate,Surfactant - Emulsifying,5.00,7.00,1.000,10.000
"Toluene-2,6-diamine",Colorant,,,,
Polyglyceryl-3 Methylglucose Distearate,Emulsifying Agent,-1.00,,1.000,5.000
Hydrogenated Lecithin,Emulsifying Agent,-1.00,,0.500,5.000
Cocamidopropyl Betaine,Surfactant - Cleansing,4.50,5.50,1.000,10.000
Sodium Lauroyl Sarcosinate,Surfactant - Cleansing Agent,7.50,8.50,1.000,10.000
Dodine,,-1.00,,,
Glyceryl Citrate/Lactate/Linoleate/Oleate,Skin Conditioning Agent - Emollient,3.50,8.50,0.500,3.000
Steareth-21,Surfactant - Emulsifying Agent,5.00,7.00,0.500,5.000
Polyglyceryl-6 Polyricinoleate,Emulsifying Agent,-1.00,,2.000,5.000
Mephenesin and its esters,,-1.00,,,
Polyglyceryl-10 Stearate,Emulsifying Agent,3.00,10.00,1.000,10.000
Sodium Lauroyl Glutamate,Surfactant - Cleansing Agent,6.00,8.00,1.000,20.000
Ascorbic Acid,Antioxidant,2.50,3.50,0.500,20.000
BHT,Antioxidant,,,0.010,0.100
Sodium Benzoate,Preservative,2.00,5.00,0.100,0.500
Potassium Sorbate,Preservative,2.00,6.50,0.100,0.600
Dipotassium Glycyrrhizate,Skin-Conditioning Agent,5.00,6.50,0.100,1.000
"Toluene 3, 4-diamine",Colorant,,,,
Benzyl Alcohol,"preservative, perfuming, solvent, viscosity controlling",-1.00,,,
Dehydroacetic Acid,Preservative,2.00,7.00,0.200,0.600
Benzoic Acid,Preservative,2.50,4.50,,0.500
"Dinoterb, its salts and esters",,-1.00,,,
Tocopheryl Acetate,Antioxidant,,,0.100,5.000
Cetyl Alcohol,"Emollient, Emulsion Stabilizer, Opacifying Agent, Surfactant - Emulsifying, Viscosity Increasing Agent - Nonaqueous",,,0.500,10.000
"Hexamethonium; Ammonium, hexamethylenebis(trimethyl-",,-1.00,,,
"Toluene-2,5-Diamine",Colorant,,,,
"Toluene-2,5-Diamine Sulfate",Colorant,,,,
Ammonium Dichromate,,-1.00,,,
Ascorbyl Glucoside,Antioxidant,3.00,7.00,0.500,5.000
Retinyl Palmitate,Skin-Conditioning Agent,,,0.100,1.000
BHA,Antioxidant,,,0.005,0.100
Propyl Gallate,Antioxidant,,,0.010,0.100
Glutathione,Antioxidant,4.00,6.50,0.100,2.000
Idebenone,Antioxidant,,,0.010,1.000
Carnosine,"Skin Conditioning Agent, Antioxidant",,,,
Ergothioneine,"Antioxidant, Skin Conditioning Agent",,,0.010,0.100
Thioctic Acid,antioxidant,,,,
Lactic Acid,"exfoliant, moisturizer/humectant, buffering",,,,
"Toluene-3,4-diamine and its salts",Colorant,,,,
Glycerin,Humectant,5.50,7.00,1.000,20.000
Sodium Hyaluronate,Humectant,4.00,9.00,0.100,2.000
Caprylic/Capric Triglyceride,Emollient,,,1.000,100.000
Polyglyceryl-10 Laurate,"surfactant/cleansing, emulsifying",-1.00,,,
Panthenol,Skin Conditioning Agent,6.00,7.50,0.500,5.000
Sorbitol,Humectant,4.50,7.00,1.000,50.000
Trehalose,Humectant,5.00,7.00,0.500,5.000
Betaine,Humectant,5.00,7.00,0.500,5.000
Allantoin,"Skin Conditioning, Soothing",3.00,9.00,0.100,2.000
Dimethicone,Skin-Conditioning Agent,,,0.500,20.000
Isopropyl Myristate,Emollient,,,1.000,50.000
Urea,"skin-identical ingredient, moisturizer/humectant",,,,
Ethylhexyl Palmitate,Emollient,,,1.000,20.000
Simmondsia Chinensis (Jojoba) Seed Oil,SKIN CONDITIONING,,,0.100,100.000
Olea Europaea (Olive) Fruit Oil,Skin Conditioning,,,1.000,100.000
Cholesterol,Skin-Conditioning Agent,,,0.100,5.000
Polyglutamic Acid,Skin Conditioning Agent; Humectant; Film Former,3.00,8.00,0.100,1.000
Xylitol,Humectant,5.00,7.00,0.500,10.000
Fructooligosaccharides,"Skin Conditioning, Humectant",4.00,7.00,1.000,5.000
Biosaccharide Gum-1,Skin-Conditioning Agent,3.00,10.00,1.000,5.000
Phytosphingosine,"Skin Conditioning Agent, Antimicrobial Agent",3.00,8.00,0.050,0.200
Sodium Polyglutamate,Skin Conditioning Agent,3.00,10.00,0.050,1.000
Adenosine,Skin-Conditioning Agent,6.00,7.50,0.040,0.400
Palmitoyl Pentapeptide-4,Skin-Conditioning Agent,3.00,8.00,3.000,8.000
Glyceryl Stearate SE,Emulsifying Agent,4.50,8.50,1.000,10.000
Beeswax,Emollient,,,0.500,30.000
Ethylhexylglycerin,Skin-Conditioning Agent,3.00,12.00,0.300,1.000
Gluconolactone,Skin Conditioning Agent,3.50,5.50,1.000,10.000
Dimethicone Hydroxypropyl Trimonium Chloride,,,,0.000,
Alpha-Arbutin,Skin Conditioning,3.50,6.50,0.200,2.000
Vitis Vinifera Seed Extract,"antioxidant, antimicrobial/antibacterial",,,,
Rosmarinus Officinalis Leaf Extract,"antioxidant, soothing, antimicrobial/antibacterial",,,,
Magnesium Ascorbyl Phosphate,"skin brightening, antioxidant",,,,
Ferulic Acid,"antioxidant, antimicrobial/antibacterial",,,,
Retinol,cell-communicating ingredient,,,,
"Toluidines, their isomers, salts and halogenated and sulphonated derivatives",Colorant,,,,
Propylene Glycol,"moisturizer/humectant, solvent",,,,
Ethylhexyl Methoxycinnamate,UV Absorber,4.00,9.00,2.000,10.000
DMDM Hydantoin,preservative,-1.00,,,
Butyl Methoxydibenzoylmethane,sunscreen,-1.00,,1.000,5.000
Caprylhydroxamic Acid,chelating,-1.00,,,
Ammonium Acryloyldimethyltaurate/VP Copolymer,Viscosity Controlling,,,0.500,2.500
Pogostemon Cablin Oil,Fragrance,,,0.100,1.000
Salicylic Acid,"exfoliant, anti-acne, soothing, preservative",-1.00,,,
Polyaminopropyl Biguanide,preservative,-1.00,,,
Euphorbia Cerifera (Candelilla) Wax,Viscosity Increasing Agent - Nonaqueous,,,1.000,10.000
Rosa Canina Fruit Oil,Skin Conditioning,,,0.100,100.000
Persea Gratissima (Avocado) Oil,Emollient,,,0.100,100.000
Hydroxyethylcellulose,Viscosity Increasing Agent,2.00,12.00,0.100,5.000
Sclerotium Gum,Viscosity Controlling,2.00,12.00,0.100,2.000
Macadamia Integrifolia Seed Oil,"EMOLLIENT, SKIN CONDITIONING",,,1.000,100.000
Carbomer,Viscosity Increasing Agent,5.00,9.00,0.100,1.000
Dimethicone/Mercaptopropyl Methicone Copolymer,,,,0.000,
"Toluidine; Benzenamine, ar-methyl",Colorant,,,,
Silica,ABSORBENT,,,0.100,99.000
Konjac Glucomannan,Viscosity Increasing Agent,3.00,9.00,0.100,2.000
Montmorillonite,Absorbent,6.00,9.00,1.000,50.000
Sodium Citrate,Buffering Agent,7.00,9.00,0.100,10.000
Arginine,Skin-Conditioning Agent,10.50,12.00,0.100,5.000
Tromethamine,pH Adjuster,10.00,11.50,0.100,2.000
Beta Vulgaris (Beet) Root Extract,Skin conditioning,,,,
Vanilla Planifolia Fruit Extract,Skin Conditioning Agent,,,,
Carmine (CI 75470),Colorant,3.00,7.00,0.010,5.000
Chromium Oxide Greens (CI 77288),COLORANT,,,0.100,10.000
Yellow 5 Lake (CI 19140),Colorant,,,,
Cyclodextrin,MASKING,5.00,7.00,0.100,10.000
Magnesium Aluminum Silicate,Viscosity Increasing Agent - Aqueous,7.00,10.00,0.500,5.000
PVP,FILM FORMER,3.00,7.00,0.100,10.000
Polyquaternium-10,"Antistatic, Film Former, Hair Fixative",3.00,10.00,0.050,1.000
Dextrin,"BINDING, EMULSION STABILISING, FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",4.00,6.00,0.100,20.000
Farnesol,"Deodorant, Masking, Skin Conditioning",,,0.010,1.000
CI 77000,Colorant,,,,
Boswellia Carterii Oil,Skin Conditioning Agent,,,0.100,1.000
Prunus Armeniaca (Apricot) Kernel Oil,Skin Conditioning,,,1.000,100.000
Squalene,Skin Conditioning Agent - Emollient,,,0.500,10.000
Pectin,Viscosity Increasing Agent - Aqueous,3.00,6.00,0.100,2.000
Hydrolyzed Lupine Protein,Skin Conditioning Agent,4.00,6.00,1.000,5.000
Ceratonia Siliqua Gum,Viscosity Increasing Agent - Aqueous,3.00,11.00,0.100,2.000
Astragalus Gummifer Gum,Viscosity Controlling,2.00,10.00,0.500,2.000
PVP/VA Copolymer,Film Former,3.00,5.00,1.000,10.000
Glyceryl Behenate,"Emollient, Emulsifying, Skin Conditioning, Viscosity Controlling",,,0.500,10.000
Myristyl Alcohol,Emollient,,,0.500,10.000
Copernicia Cerifera (Carnauba) Wax,VISCOSITY CONTROLLING,,,0.500,10.000
Ozokerite,"BINDING, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",,,0.000,25.000
Magnesium Carbonate,"Abrasive, Absorbent, Bulking Agent, Opacifying Agent, pH Adjuster, Skin-Conditioning Agent",9.00,10.00,0.100,25.000
Trilead bis(orthophosphate),Colorant,,,,
Sodium Gluconate,Chelating Agent,6.00,7.50,0.100,1.000
Aminomethyl Propanol,pH Adjuster,11.30,11.60,0.010,10.000
Lysine HCl,Skin Conditioning Agent,4.50,5.50,0.100,2.000
Benzyl Salicylate,Fragrance Ingredient,,,0.001,1.500
Jasminum Officinale Oil,Fragrance,,,0.100,1.000
Linalyl Acetate,Fragrance Ingredient,,,0.010,1.000
CI 77266,Colorant,,,0.100,10.000
Indigofera Tinctoria Extract,Colorant,,,,
Dimethiconol Arginine,,,,0.000,
"Trisodium 3-hydroxy-4-(4'-sulphonatonaphthylazo)naphthalene-2,7-disulphonate (Acid Red 27; CI 16185) when used as a substance in hair dye products",Colorant,,,,
CI 45410,Colorant,,,,
CI 77861,OPACIFYING,,,0.100,25.000
Indigofera Tinctoria Leaf Extract,Skin-Conditioning Agent,,,,
Hydroxypropyl Cellulose,"Film Former, Viscosity Controlling",2.00,12.00,0.100,5.000
PVM/MA Copolymer,Antistatic Agent; Binder; Film Former; Hair Fixative; Suspending Agent - Nonsurfactant; Viscosity Increasing Agent - Aqueous,2.50,3.50,0.500,5.000
Dextrin Palmitate,Viscosity Increasing Agent - Nonaqueous,,,1.000,10.000
"(1,3,5)-Triazine-2,4-bis-{[4-(2-ethyl-hexyloxy)-2-hydroxy]-phenyl}-6-(4-methoxyphenyl)",UV Absorber,3.00,10.00,1.000,10.000
4-PCA Dimethicone,"hair conditioning, skin conditioning - miscellaneous",,,0.000,
"Trisodium 3-hydroxy-4-(4'-sulphonatonaphthylazo)naphthalene-2,7-disulphonate (Acid Red 27; CI 16185)",Colorant,,,,
(+/-)-Tetrahydrofurfuryl-(R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenyloxy]propionate,,-1.00,,,
"(29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32)copper (Pigment Blue 15; CI 74160)",Colorant,,,0.000,10.000
"Trisodium 8-hydroxypyrene-1,3,6-trisulphonate (Solvent Green 7; CI 59040)",Colorant,,,,
"(Micro-((7,7'-Iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl)phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate and its salts",Colorant,,,,
(1-Methylhexyl)Ammonium Sulphate,,-1.00,,,
"1,10-Decanediaminium, N,N,N,N',N',N'-hexamethyl-(9CI)",,-1.00,,,
"1,2-Dihydroxyanthraquinone (Pigment Red 83; CI 58000)",Colorant,,,,
"1,2-Dibromo-2,4-Dicyanobutane(Methyldibromo Glutaronitrile)",,-1.00,,,
"1,2-Dibromo-3-Chloropropane",,-1.00,,,
"1,2-Hexanediyl Dicaprate",,,,0.000,
"1,3,5-Tris(Oxiranylmethyl)-1,3,5-Triazine-2,4,6(1H,3H,5H)-Trione",,-1.00,,,
"1,3,5-tris(2-hydroxyethyl)hexahydro 1,3,5-triasin",,-1.00,,,
"1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline (Solvent Yellow 33; CI 47000)",Colorant,,,,
"1,3-benzenediol, 2-methyl",Colorant,,,,
"1,4-Dichlorobenzene (p-Dichlorobenzene)",,-1.00,,,
"1,6-Di(4-amidinophenoxy)-n-hexane(Hexamidine) and its salts (including isethionate and p-hydroxybenzoate (+)",Preservative,3.00,8.00,0.050,0.100
Disodium Bis-Dioleoyl Glycerophosphoglycerin,,,,0.000,
Trisodium bis(7-acetamido-2-(4-nitro-2-oxidophenylazo)-3-sulfonato-1-naphtholato)chromate(1-),Colorant,,,,
"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonate(2-)-N5,O6]ferrate(3-); (Acid Green 1; CI 10020) when used as a substance in hair dye products",Colorant,,,,
Distearyl Phthalic Acid Amide,,,,0.000,
1-Dimethylaminomethyl-1-Methylpropyl Benzoate,,-1.00,,,
1-Butyl-3-(N-crotonoylsulphanilyl)urea,,-1.00,,,
"2,2'-[(4-Amino-3-nitrophenyl)imino]bisethanol hydrochloride",Colorant,,,,
"2,3-Epoxypropan-1-ol",,-1.00,,,
Laureth-7 Citrate,,-1.00,,,
Methoxy PEG-200 Betulin,,-1.00,,,
Morphine Sulfate,,-1.00,,,
Oleamine Oxide,,-1.00,,,
PEG-9M,,-1.00,,,
"2,2',2''-Trichlorotriethylamine Hydrochloride",,-1.00,,,
"2,2-Dibromo-2-Nitroethanol",,-1.00,,,
"2,3-Naphthalenediol",,-1.00,,,
"2,4,6-Trichlorophenol",,-1.00,,,
"2-(2-(4-Chiorophenyl)-2-phenylacetyl] indane-1,3-dione",,,,0.000,
"2,4-Diaminophenol Sulfate",Colorant,,,,
"2,6-Dibromo-4-cyanophenyl octanoate",,-1.00,,,
"2,7-Naphthalenediol and its salts",,-1.00,,,
2-Aminobutanol,buffering,,,,
2-Capryloyl Capryloyl Dimethyl Aspartate,,,,0.000,
2-Amino-3-nitrophenol,Colorant,,,,
2-(2-Methoxyethoxy)Ethanol (Methoxydiglycol),,-1.00,,,
"2-Ethoxyethanol (Ethylene Glycol Monoethyl Ether, EGMEE)",,-1.00,,,
2-Ethylhexyl p-dimethylaminobenzoate,,-1.00,,,
"2-Ethylhexyl[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-methyl]thio]acetate",,-1.00,,,
"2-(4-Allyl-2-methoxyphenoxy)-N,N-diethylacetamide and its salts",,-1.00,,,
2-Amino-6-chloro-4-nitrophenol hydrochloride,,-1.00,,,
2-O-Ethyl Ascorbic Acid,skin conditioning,,,,
Acer Mono Sap,skin conditioning,,,,
2-Myristyl/Palmityl Oxostearoyl/Oxoarachidonoyl Methyl Serinate,,,,0.000,
2-Nitro-p-Phenylenediamine Sulfate,Colorant,,,,
2-[(3-Amino-4-Methoxyphenyl)Amino]Ethanol and its sulphate,,-1.00,,,
"2-Naphthylammonium chloride; 2-Naphthylamine, hydrochloride",,-1.00,,,
"3,4',5-Tribromosalicylanilide (Tribromsalan)",,-1.00,,,
3-Ascorbyl Carbonyl Dipeptide-17,skin conditioning,,,,
3-O-Cetyl Ascorbic Acid,skin conditioning,,,,
"3-(4-Chlorophenyl)-1,1-Dimethyluronium Trichloroacetate",,-1.00,,,
3-Heptyl-2-(3-heptyl-4-methyl-thiozoline-2-ylene)-4-methyl-thiazoliniumdide,,-1.00,,,
4-Hydroxypropylamino-3-Nitrophenol,hair dyeing,,,,
"4-Nonylphenol, branched [2]",,-1.00,,,
4-Aminobenzenesulfonic acid and its salts,,-1.00,,,
"4,5-Dibromosalicylanilide; Benzamide, 4,5-dibromo-2-hydroxy-N-phenyl-",,-1.00,,,
7-Dehydrocholesteryl Palmitate,sunscreen,,,0.000,
"4-Phenylazophenylene-1,3-Diamine Citrate Hydrochloride",Colorant,,,,
"4-Phenylazophenylene-1,3-diamine hydrochloride",Colorant,,,,
"6-diazo-5,6-dihydro-5-oxo-naphthalenesulfonate",,-1.00,,,
"4-[[bis-(4-Fluorophenyl)methylsilyl]methyl]-4H-1,2,4-triazole",,-1.00,,,
5-Nitro-o-cresol,,-1.00,,,
ACID RED 33,hair dyeing,,,,
AMP-Isostearoyl Hydrolyzed Collagen,surfactant/cleansing,,,,
AMP-Isostearoyl Hydrolyzed Silk,,,,0.000,
AMP-Isostearoyl Wheat/Corn/Soy Amino Acids,,,,0.000,
Abies Alba Leaf Wax,,,,0.000,
AMP-Acrylates Copolymer,film forming,-1.00,,,
AMP-Acrylates/Allyl Methacrylate Copolymer,,-1.00,,,
AMP-Acrylates/C1-18 Alkyl Acrylate/C1-8 Alkyl Acrylamide Copolymer,,-1.00,,,
AMP-Acrylates/Diacetoneacrylamide Copolymer,,-1.00,,,
Acacia Arabica Stem Bark Extract,skin conditioning,,,,
Acacia Senegal Gum Extract,viscosity controlling,,,,
Acacia Seyal Gum,moisturizer/humectant,,,,
Acefylline Methylsilanol Mannuronate,skin conditioning,,,,
Abies Balsamea Needle Oil,perfuming,,,0.000,
Abies Spectabilis Branch/Leaf Oil,,,,0.000,
Acacia Catechu Gum,"film forming, masking",,,0.000,
Acacia Decurrens/Jojoba/Sunflower Seed Wax Polyglyceryl-3 Esters,,,,0.000,
Acacia Farnesiana Flower Wax,flavouring,,,0.000,
Acacia Seyal Gum Extract,moisturizer/humectant,,,0.000,
Acacia Seyal Gum Octenylsuccinate,,-1.00,,,
Acer Saccharum Sap Extract,moisturizer/humectant,,,,
Acetamidoethyl PG-Trimonium Chloride,"antistatic, hair conditioning",,,0.000,
Acetic/Linoleic/Palmitic Triglyceride,,,,0.000,
Acetamidopropyl Trimonium Chloride,antistatic,-1.00,,,
Acetyl Trihexyl Citrate,,,,0.000,
PEG-20M,,-1.00,,,
Acetylated Glyceryl Stearate/Palmitate,,-1.00,,,
Acetylated Glycol Stearate,"emollient, emulsion stabilising",-1.00,,,
Acetylneuraminic Acid,"soothing, anti-acne",,,,
Acetylphytosphingosine,"hair conditioning, skin conditioning",,,,
Acetylated Hydrogenated Castor Oil,,,,0.000,
Acetylated Hydrogenated Cottonseed Glyceride,,,,0.000,
Acetylated Hydrogenated Lanolin,,,,0.000,
Acetylated Hydrogenated Lard Glyceride,,,,0.000,
Acetylated Palm Kernel Glycerides,,,,0.000,
Achillea Millefolium Oil,"soothing, surfactant/cleansing, perfuming",,,0.000,
Nonoxynol-40,,-1.00,,,
Poloxamer 182,,-1.00,,,
Acrylates Crosspolymer,absorbent/mattifier,,,,
Acrylates Crosspolymer-4,"surfactant/cleansing, viscosity controlling, emulsion stabilising",,,,
Acrylamidopropyltrimonium Chloride/Acrylamide Copolymer,,-1.00,,,
Acrylamides/DMAPA Acrylates/Methoxy PEG Methacrylate Copolymer,,-1.00,,,
Acrylates/Aminoacrylates/C10-30 Alkyl PEG-20 Itaconate Copolymer,,-1.00,,,
Acrylates/Behenyl Methacrylate/Dimethicone Methacrylate Copolymer,,-1.00,,,
Acrylates/C12-13 Alkyl Methacrylates/Methoxyethyl Acrylate Crosspolymer,,-1.00,,,
"N-substituted derivatives of p- Phenylenediamine and their salts; N- substituted derivatives of o-Phenylenediamine (1 ), with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II",Colorant,,,,
Moonstone Powder,Colorant,,,,
"Phenoxazin-5-ium, 3,7-bis(diethylamino)-",Colorant,,,,
"N,N-Bis-p-Phenylenediamine Sulfate",Colorant,,,,
Malachite green,Colorant,,,,
"4,4'-Carbonimidoylbis[N,N-dimethylaniline] and its salts",Colorant,,,,
"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide (Pigment Red 5; CI 12490) and its salts when used as a substance in hair dye products",Colorant,,,,
"5-[(4-[(7-Amino-1-hydroxy-3-sulfo-2-naphthyl)azo]-2,5-diethoxyphenyl)azo]-2-[(3-phosphonophenyl)azo]benzoicacid and 5-[(4-[(7-Amino-1-hydroxy-3-sulfo-2-naphthyl)azo]-2,5-diethoxyphenyl)azo]-3-[(3-phosphonophenyl)azo]benzoicacid",Colorant,,,,
"N-(4-[bis[4-(diethylamino)phenyl]methylene]-2,5-cyclohexadien-1-ylidine)-N-ethyl- Ethanaminium",Colorant,,,,
"Benzyl Violet([4-[[4-(dimethylamino)phenyl][4-[ethyl(3-sulfonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-yliden](ethyl)(3-sulfonatobenzyl)amonium salt",Colorant,,,,
"Ethanaminium, N-(4-((4-diethylamino)phenyl)(5-hydroxy-2,4-disulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-, hydroxide, inner salt, calcium salt (2:1) (Acid Blue 3; CI 42051)",Colorant,,,,
Benzidine based Azo Dyes,Colorant,,,,
"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide] (Pigment Yellow 13; CI 21100)",Colorant,,,,
Lead sulfochromate Yellow; C.I. Pigment Yellow 34 (CI 77603),Colorant,,,,
Chrysoidine Monoacetate,Colorant,,,,
1-Hydroxy-4-(p-toluidino)anthraquinone (Solvent Violet 13; CI 60725),Colorant,,,,
"2,2'-((3-Chloro-4-((2,6-dichloro-4-nitrophenyl)azo)phenyl)imino)bisethanol (Disperse Brown 1) and its salts",Colorant,,,,
"3,7-diamino-2,8-dimethyl-5-phenyl-Phenazinium",Colorant,,,,
"3-[[(4-[[diamino(phenylazo)phenyl]azo]-1-naphthalenyl]azo]-N,N,N-trimethyl-Benzenaminium and its salts",Colorant,,,,
Disperse Orange 3,Colorant,,,,
m-Aminophenol and its salts,Colorant,,,,
"6-Methoxy-N2-methyl-2,3-pyridinediamine hydrochloride",Colorant,,,,
"(Methylenebis(4,1-phenylenazo(1-(3-(dimethylamino)propyl)-1,2-dihydro-6-hydroxy-4-methyl-2-oxopyridine-5,3-diyl)))-1,1'-dipyridinium dichloride dihydrochloride",Colorant,,,,
"1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline (Solvent Yellow 33; CI 47000) when used as a substance in hair dye products",Colorant,,,,
"1,3-bis-(2,4-diaminophenoxy)propane,1,3-bis-(2,4-diaminophenoxy)propane HCL",Colorant,,,,
"1,4,5,8-Tetraaminoanthraquinone",Colorant,,,,
"1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone(Disperse Blue 7) and its salts",Colorant,,,,
"1,4-bis(p-Tolylamino)anthraquinone (Solvent Green 3; CI 61565)",Colorant,,,,
"1,4-bis(p-Tolylamino)anthraquinone (Solvent Green 3; CI 61565) when used as a substance in hair dye products",Colorant,,,,
"1,5-Di-(beta-Hydroxyethyl)amino-2-nitro-4-chlorobenzene",Colorant,,,,
"1,5-Di-(beta-Hydroxyethyl)amino-2-nitro-4-chlorobenzene and its salt (e.g. HC Yellow NO. 10)",Colorant,,,,
"1,5-Naphthalenediol",Colorant,,,,
Titanium Dioxide,"Colorant, UV Filter",,,0.100,25.000
CI 77491; CI 77492; CI 77499; Natural iron oxide; CI Pigment Brown 7,"Colorant, Opacifying Agent",,,,
CI 77491; CI 77492; CI 77499; Iron oxide brown; CI Pigment Brown 6,"Colorant, Opacifying Agent",,,,
CI 77499/Iron Oxide Black,"Colorant, Opacifying Agent",,,,
CI 77492/Iron Oxide Yellow,"Colorant, Opacifying Agent",,,,
Iron Oxides (CI 77491),"Colorant, Opacifying Agent",,,,
Iron Oxides (CI 77492),"Colorant, Opacifying Agent",,,0.100,15.000
"Distillates (petroleum), chemically neutralised middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Colorant, Pearlescent Agent",,,0.000,
"Distillates (petroleum), chemically neutralized heavy naphthenic","Colorant, Pearlescent Agent",,,0.000,
"Gas oils (petroleum), chemically neutralized, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen","Colorant, Pearlescent Agent",,,0.000,
Mica Extract,"Colorant, Pearlescent Agent",,,,
Disodium Hydrogenated Cottonseed Glyceride Sulfosuccinate,,-1.00,,,
Glycerin/Oxybutylene Copolymer Stearyl Ether,,,,1.000,20.000
Distearyldimethylamine Dilinoleate,,,,0.000,
"Distillates (petroleum), acid-treated heavy paraffinic",,,,0.000,
"Distillates (petroleum), carbon-treated light paraffinic",,,,0.000,
Disodium Laureth-5 Carboxyamphodiacetate,,-1.00,,,
Disodium Lauriminobishydroxypropylsulfonate,,-1.00,,,
Disodium Palmitamido PEG-2 Sulfosuccinate,,-1.00,,,
Disodium Tallowamido MEA-Sulfosuccinate,,-1.00,,,
Disodium PEG-8 Glyceryl Caprylate/Caprate,,-1.00,,,
Disodium Phenyl Dibenzimidazole Tetrasulfonate,,-1.00,,,
"Distillates (petroleum), clay-treated heavy paraffinic",,,,0.000,
"Distillates (petroleum), complex dewaxed heavy paraffinic",,,,0.000,
"Distillates (petroleum), complex dewaxed light paraffinic",,,,0.000,
